Elephant      	-- 1813195176197
Lion     	-- 5210195176164
Bear       	-- 199254199110144
Deer     	-- 1835120011034
Snake          	-- 231218200110155
Giraff   	-- 167165199110171
Rhinoceros     	-- 14732199110171
Monkey       	-- 15110321811068
sheep     	-- 1672620111026
squarall	-- 1351121711059